,Label,SLC2A1.6513,CDCA5.113130,CENPA.1058,POLQ.10721,AGER.177,TROAP.10024,KIF14.9928,EXO1.9156,SERPINB5.5268,GPD1.2819,GINS1.9837,CKAP2L.150468,GPR87.53836,KIF23.9493,PLK1.5347,B4GALNT4.338707,CCNB1.891,RAD54L.8438,C19orf59.199675,CLEC3B.7123
TCGA.NC.A5HM.01,Primary Tumor,16441.6712,1751.4921,416.7119,414.5415,132.9354,1008.1389,260.4449,355.3988,5056.9723,25.5019,488.8768,244.7097,1331.5247,1035.8112,1315.2469,417.7971,1763.4292,614.7585,15.7352,21.7037
TCGA.NC.A5HN.01,Primary Tumor,43394.876,1074.8272,479.4632,1175.2745,139.4876,607.1574,461.5697,463.1964,10254.1684,6.9134,418.4628,349.329,1554.697,1138.2676,857.6657,345.669,1435.5429,334.6889,2.0333,8.5401
TCGA.NC.A5HO.01,Primary Tumor,23101.737,986.7659,231.5964,423.4905,282.0513,1164.5988,330.8519,272.1257,2856.9065,29.7767,697.2705,174.5244,2461.5385,311.828,1077.7502,124.0695,2454.9214,284.5327,38.8751,30.6038
TCGA.NC.A5HP.01,Primary Tumor,8361.3139,725.6691,338.1995,420.9246,301.0949,566.3017,394.7689,351.5815,4334.5499,30.4136,338.1995,300.4866,2462.8954,792.5791,768.2482,1257.2993,892.944,150.2433,21.2895,62.0438
TCGA.NC.A5HQ.01,Primary Tumor,18873.4974,864.5678,301.7745,807.3268,854.9513,1259.3017,202.4041,228.506,1439.7252,25.186,413.9668,261.0189,1990.1546,590.269,743.2169,419.9199,1831.2536,390.6125,21.5226,100.7441
TCGA.NC.A5HR.01,Primary Tumor,21994.7674,1470.3488,631.3953,956.3953,262.7907,1200.0,706.3953,709.8837,1401.1628,23.2558,855.2326,633.7209,1050.5814,1195.9302,1499.4186,397.6744,1291.8605,326.7442,5.2326,25.5814
TCGA.NC.A5HT.01,Primary Tumor,38258.133,929.9859,210.7496,265.5587,258.4866,435.6436,214.9929,192.7157,4653.819,37.4823,449.0806,147.8076,1350.7779,698.727,307.9915,839.8161,871.6407,324.2574,7.4257,112.0934
TCGA.NK.A5CR.01,Primary Tumor,67258.0,956.6667,294.6667,266.6667,43.3333,506.0,249.3333,130.0,2624.0,8.0,413.3333,343.3333,800.0,554.6667,930.0,690.6667,1240.6667,626.6667,18.6667,25.3333
TCGA.NK.A5CT.01,Primary Tumor,14663.6748,659.9789,259.7677,646.7793,257.1278,1070.2218,405.491,286.6948,8870.1162,9.5037,202.7455,269.2714,1544.8786,1459.8733,1022.1753,154.699,1244.9842,480.4646,46.9905,67.5818
TCGA.NK.A5CX.01,Primary Tumor,23749.1136,566.3284,121.7753,337.4496,184.3746,333.5371,194.1558,190.2433,12175.5716,10.2702,826.0179,164.3233,2231.5687,379.5085,676.3663,473.8966,946.326,279.2517,20.5404,171.6591
TCGA.NK.A5D1.01,Primary Tumor,18741.2383,2489.486,594.0421,536.7991,166.472,1510.514,551.4019,650.1168,520.4439,2.3364,573.5981,477.8037,148.9486,966.7056,2221.3785,2196.2617,3391.9393,1369.743,4.6729,101.0514
TCGA.NK.A7XE.01,Primary Tumor,8374.2099,846.397,624.5259,591.6561,59.4185,744.6271,445.0063,336.2832,1768.0152,5.689,658.0278,330.5942,1195.9545,1873.5777,1115.6764,1032.8698,2024.0202,386.8521,13.9064,29.0771
TCGA.O2.A52N.01,Primary Tumor,11604.918,660.6557,230.0546,589.071,645.3552,785.7923,386.3388,316.9399,5432.2404,11.4754,519.1257,486.8852,4692.3497,526.2295,777.5956,733.3333,1673.224,265.5738,5.4645,95.6284
TCGA.O2.A52Q.01,Primary Tumor,26454.4268,893.1966,317.1171,142.653,69.0898,1001.5533,246.0391,177.9435,1337.0612,11.9292,281.8267,247.0332,811.1836,713.762,1347.4992,136.1914,2592.1094,426.4678,432.9295,22.8642
TCGA.O2.A52S.01,Primary Tumor,7556.7053,2139.0728,741.3079,676.3245,20.6954,1166.3907,1138.245,543.4603,309.1887,12.0033,2121.2748,637.4172,218.1291,1939.5695,2867.5497,2691.6391,1948.2616,348.9238,6.2086,16.5563
TCGA.O2.A52V.01,Primary Tumor,25688.4126,643.3449,253.388,569.8078,65.5531,480.3026,506.3557,345.8346,3860.9098,14.2872,744.616,474.4196,1361.0673,909.7594,802.6053,258.0103,1473.6842,480.7228,61.7712,69.335
TCGA.O2.A52W.01,Primary Tumor,22800.1075,754.9704,537.8829,758.7319,278.345,925.8463,419.1295,475.0134,3478.7749,29.554,1030.6287,537.3455,1058.5707,891.9936,973.1327,704.9973,1658.2483,679.2047,29.0167,126.8135
TCGA.O2.A5IB.01,Primary Tumor,8998.6688,1426.2513,323.2162,559.6379,138.1789,602.7689,609.9574,467.7849,1027.1565,26.6241,1306.7093,780.8839,23.9617,909.7444,1641.1076,1336.7945,1485.623,817.0927,1.3312,41.0011
TCGA.XC.AA0X.01,Primary Tumor,17754.9263,463.526,109.0957,364.3482,2258.1235,364.3482,232.807,197.3118,8971.4211,68.9025,279.264,125.7993,899.9087,487.0155,547.5662,470.3119,678.0634,387.8377,131.0192,214.0154
