,Label,SLC2A1.6513,CDCA5.113130,CENPA.1058,POLQ.10721,AGER.177,TROAP.10024,KIF14.9928,EXO1.9156,SERPINB5.5268,GPD1.2819,GINS1.9837,CKAP2L.150468,GPR87.53836,KIF23.9493,PLK1.5347,B4GALNT4.338707,CCNB1.891,RAD54L.8438,C19orf59.199675,CLEC3B.7123
TCGA.22.4613.01,Primary Tumor,14548.6726,1595.5752,378.7611,323.8938,148.6726,782.3009,218.5841,430.0885,2223.0088,10.6195,790.2655,453.0973,1432.7434,1228.3186,1195.5752,599.115,1782.3009,642.4779,19.469,54.8673
TCGA.22.5471.11,Solid Tissue Normal,389.5548,26.5411,2.5685,2.5685,43254.2808,4.2808,1.7123,3.8527,33.8185,3423.8014,15.411,6.4212,14.5548,30.8219,13.2705,3.8527,76.6267,5.5651,5835.6164,2132.7055
TCGA.22.5471.01,Primary Tumor,11632.6017,1220.5829,480.3886,175.9626,29.8669,1544.4404,196.1137,396.9054,2540.842,9.3559,939.9064,136.0202,1591.9395,553.4365,1225.9806,159.05,1611.0112,330.3347,13.674,35.2645
TCGA.22.5472.11,Solid Tissue Normal,334.6944,123.7805,22.0396,35.3659,22268.9638,31.5218,39.4663,41.2602,122.4992,2070.1846,88.4147,51.7674,64.5811,110.9668,114.5547,2.3065,160.4278,36.6472,4080.6572,1829.0304
TCGA.22.5472.01,Primary Tumor,4898.853,531.1088,100.4519,259.6455,2615.2242,216.545,170.6639,164.0598,10291.6232,248.8704,363.5732,230.796,1883.2117,610.0104,737.2263,128.2586,663.1908,147.7233,437.261,400.0695
TCGA.22.5473.01,Primary Tumor,58776.5936,995.3093,313.6694,256.174,27.1506,760.8559,260.6458,354.2356,3461.5428,5.4301,741.3713,307.6004,396.0795,797.589,1491.6863,643.9485,1995.0905,442.0758,36.0943,64.2032
TCGA.22.5474.01,Primary Tumor,10105.2488,832.6955,189.1744,135.3198,14.4888,366.8671,339.5298,542.0995,3982.2307,12.0284,524.6036,344.1771,1407.5998,826.9546,1197.1022,406.5063,1101.6949,167.3045,26.5172,88.573
TCGA.22.5477.01,Primary Tumor,17000.7798,1253.4442,360.0208,520.6655,349.883,1281.778,889.7842,453.3403,3697.9465,46.0099,818.04,412.2693,690.4081,1622.823,1491.5519,438.7835,1175.4614,423.4468,79.5425,119.8336
TCGA.22.5478.11,Solid Tissue Normal,243.2208,37.6086,2.1961,6.5884,55792.005,7.6864,5.2158,6.5884,3.0197,1832.6663,17.2945,10.1571,1.0981,42.0009,24.1574,0.549,77.4134,7.961,4323.0719,3655.7245
TCGA.22.5478.01,Primary Tumor,25087.3914,749.671,291.3925,117.9258,314.8197,322.4533,178.9945,191.6294,1222.6902,66.3332,1889.7078,186.3648,479.5999,647.8021,858.9102,347.7231,784.9434,342.7218,44.2222,86.865
TCGA.22.5479.01,Primary Tumor,15760.7369,1139.0523,433.6922,445.2336,39.5073,554.4335,608.5895,766.1747,8747.0869,7.1024,646.3212,383.9751,757.7405,846.077,1790.7003,839.4185,2099.656,221.0631,17.3122,68.3609
TCGA.22.5480.01,Primary Tumor,13831.8241,1037.1076,300.9464,226.8673,386.7366,600.5311,434.6701,438.483,490.5018,6.264,491.5912,361.6804,174.8485,579.2878,661.8098,809.4233,1862.3272,303.1252,4.0852,78.9814
TCGA.22.5481.11,Solid Tissue Normal,320.5425,48.6272,6.6159,7.2775,56245.4515,9.5931,5.2928,7.6083,27.4562,1469.0705,19.8478,5.6236,15.5475,38.3725,42.342,3.9696,83.0301,8.6007,3185.908,4046.6424
TCGA.22.5481.01,Primary Tumor,2219.7779,2647.4881,383.7123,336.753,122.2634,854.1512,567.7419,676.0444,2.5383,9.3072,869.8043,218.2972,0.4231,946.8006,1716.3406,508.9371,2014.5955,782.2316,1.6922,119.725
TCGA.22.5482.11,Solid Tissue Normal,408.8832,51.269,6.599,7.6142,44839.5939,9.6447,11.4213,17.7665,22.0812,1256.3452,40.6091,15.9898,20.3046,55.8376,42.6396,3.2995,82.7411,11.4213,1785.533,3241.3706
TCGA.22.5482.01,Primary Tumor,38975.0234,803.9338,191.6953,192.3197,35.9038,387.1371,256.3222,313.1439,20167.9675,2.8099,955.9788,410.5526,3028.4109,676.241,627.8489,419.2944,1145.8008,285.3575,13.7371,28.0987
TCGA.22.5483.11,Solid Tissue Normal,236.6321,209.4972,27.5339,38.3081,31553.0726,65.0439,43.8947,57.063,7.1828,542.6975,97.7654,52.2745,2.7933,167.9968,162.0112,2.3943,271.3488,51.4765,694.7326,1336.3927
TCGA.22.5483.01,Primary Tumor,9345.5306,1665.4908,336.9874,522.4372,38.418,733.2618,669.2318,759.3481,1310.0059,1.66,1222.7354,647.6513,7.1144,1625.6499,1859.0036,399.1202,1870.861,662.5917,73.753,42.9238
TCGA.22.5485.01,Primary Tumor,36664.7638,1680.8905,213.7862,202.6545,758.6699,652.7758,651.6341,538.6043,3788.4972,73.0698,1203.3681,409.8758,483.8019,1224.4898,2049.95,657.6281,1456.8289,450.4067,159.2693,206.6505
TCGA.22.5489.11,Solid Tissue Normal,538.6699,74.3304,11.7364,6.6205,41914.2341,21.0653,8.1252,9.028,73.4276,1656.3346,43.0334,12.6392,51.4595,40.6259,66.2052,10.8336,100.5116,19.8616,2830.8757,3043.0334
TCGA.22.5489.01,Primary Tumor,10299.6188,1219.0053,399.9289,269.9749,391.0823,559.7785,590.8942,699.7993,1026.5147,34.7764,717.1876,564.6594,426.1638,1094.2373,994.4838,323.0547,2112.8205,423.7233,42.0978,154.9686
TCGA.22.5491.11,Solid Tissue Normal,171.0571,39.6853,4.1054,3.079,77609.9897,8.2107,4.1054,5.1317,2.0527,574.0677,19.8426,6.1581,0.6842,39.6853,31.1324,2.0527,67.0544,5.8159,1102.2922,8741.7037
TCGA.22.5491.01,Primary Tumor,13367.4738,1617.675,223.279,505.6698,14.9243,454.7516,130.2217,470.2612,13161.7529,38.0423,1301.9241,469.6759,2994.2205,810.8859,1294.9009,302.5825,1499.7439,429.8778,8.4864,52.0887
TCGA.22.5492.01,Primary Tumor,17574.9686,961.0597,240.9175,391.5235,372.9914,431.9809,291.0325,358.1135,1108.7946,14.8779,440.8555,295.7308,596.1598,1032.839,955.0564,513.1568,904.1583,463.5638,26.6236,188.4533
TCGA.22.A5C4.01,Primary Tumor,46569.7483,1311.1885,282.3362,350.6985,1109.8616,703.106,411.5409,458.0273,1950.7176,42.0428,1305.0359,315.8337,548.6073,1058.9317,626.1985,269.0056,1173.7803,526.7314,36.232,192.7816
TCGA.33.4532.01,Primary Tumor,42059.2914,1298.6262,482.2849,576.2834,252.35,573.0296,229.9349,486.2617,6067.9682,2.5307,1556.0376,262.4729,857.9176,823.9335,2027.838,638.1056,2582.791,503.9769,25.3073,73.3912
TCGA.33.4533.01,Primary Tumor,8712.0591,936.0131,508.6136,101.7227,53.3224,527.8917,423.2978,678.0148,980.3117,4.1017,934.3724,484.4135,490.566,997.1288,1045.9393,903.6095,1925.7588,365.4635,34.0443,24.6103
TCGA.33.4538.01,Primary Tumor,16975.1801,1334.6677,283.0264,432.3459,49.6397,802.2418,727.3819,632.9063,4118.4948,18.8151,843.8751,957.1657,1440.3523,1526.0208,1445.9568,290.2322,1987.1898,468.775,9.6077,40.032
TCGA.33.4547.01,Primary Tumor,16854.3224,852.0703,195.9496,253.5818,144.9672,320.9672,253.5818,365.743,2035.3042,3.1033,439.3349,230.5289,2383.3141,791.7781,788.6748,496.5238,787.3449,336.0402,82.0151,90.4383
TCGA.33.4566.01,Primary Tumor,2843.1174,1147.7733,451.417,163.9676,36.4372,639.6761,563.7652,631.5789,2452.4291,1.0121,695.3441,464.5749,2455.4656,1509.1093,1222.6721,135.6275,3531.3765,289.4737,6.0729,16.1943
TCGA.33.4582.01,Primary Tumor,44904.5602,661.1644,507.4906,303.6791,33.8327,881.6885,249.4652,317.5383,4474.0696,4.4839,946.9081,270.254,434.5261,703.5572,686.8447,215.6325,2373.5885,525.426,2.0381,26.9031
TCGA.33.4583.01,Primary Tumor,25839.0256,1829.4722,128.9706,221.6384,40.1242,662.0492,601.8629,1139.7182,10868.8799,0.9553,706.9501,537.8553,1363.2673,930.4992,1120.6114,32.4815,3398.1371,136.6133,4.7767,20.0621
TCGA.33.4586.01,Primary Tumor,49836.8062,1060.0595,272.8069,420.942,227.9811,613.2026,238.8373,666.083,8701.8035,6.3036,733.3217,500.0876,967.6064,987.9181,1740.5008,388.7235,1410.2609,218.8759,29.7671,51.1294
TCGA.33.4587.11,Solid Tissue Normal,354.5244,55.6845,12.065,7.8886,72026.9142,32.9466,11.6009,12.065,7.4246,4153.1323,64.5012,19.4896,24.1299,30.6265,61.2529,15.7773,184.6868,10.2088,8782.8306,8853.3643
TCGA.33.4587.01,Primary Tumor,49004.8141,1262.9045,304.6269,307.5689,158.866,763.5731,679.326,485.9588,108.0503,6.1514,1550.4145,364.2685,0.5349,790.0508,1718.9088,2241.241,1250.8692,1091.2009,10.1631,66.3279
TCGA.33.4589.01,Primary Tumor,26141.481,968.0915,437.0861,27.0921,4.8164,829.0187,93.9193,180.012,15298.0132,6.0205,903.0704,314.2685,4897.652,622.5166,1756.171,5.4184,4251.0536,90.9091,61.4088,44.5515
TCGA.33.6737.11,Solid Tissue Normal,383.3446,57.6534,4.7202,14.8348,43102.8321,11.4633,13.4862,12.4747,14.4976,164.5314,35.4012,19.555,9.7775,58.3277,46.5273,3.3715,119.3527,11.8004,605.5293,7532.3668
TCGA.33.6737.01,Primary Tumor,17463.0314,1110.9057,251.6944,174.0604,954.0974,1173.4442,532.0394,375.2311,1188.8478,158.3487,513.8632,325.0154,37.2766,1338.2625,1613.0622,12.0148,4082.8712,373.3826,104.1282,287.1226
TCGA.33.6738.01,Primary Tumor,7354.427,734.4852,473.9644,145.2214,535.4042,442.8455,184.7184,271.2927,920.4005,10.373,716.931,183.1226,500.2957,884.0952,651.9005,293.6345,141.6308,282.0647,3.1917,205.0654
TCGA.33.A4WN.01,Primary Tumor,47869.2,970.8,426.0,939.6,50.4,527.6,470.8,468.0,6861.6,99.2,393.6,432.4,1512.0,1017.2,1708.0,544.8,1757.2,502.4,2.0,43.2
TCGA.33.A5GW.01,Primary Tumor,35410.1226,800.5826,196.6258,376.7448,128.1709,293.2395,183.5174,248.0884,6593.5186,36.4122,396.6501,176.235,2423.1096,770.9674,955.4558,669.9842,1246.2678,369.4623,7.2824,135.4533
TCGA.33.AAS8.01,Primary Tumor,27646.3576,1581.0155,235.3201,335.9823,138.6313,723.6203,324.5033,356.2914,3450.3311,10.596,466.6667,226.4901,1179.6909,757.1744,1234.8786,2128.0353,1115.2318,333.7748,3.9735,91.8322
TCGA.33.AASB.01,Primary Tumor,16602.0685,1497.7407,248.2177,295.612,275.9313,1000.9037,557.4857,144.9945,1798.5742,37.3531,248.6193,315.2927,163.8719,980.8214,1628.6776,1742.3436,2108.2438,262.677,17.6725,53.419
TCGA.33.AASD.01,Primary Tumor,45574.8879,987.8924,368.6099,434.0807,20.1794,567.2646,313.4529,283.8565,5064.574,13.0045,527.8027,386.5471,2705.8296,562.3318,971.7489,1040.3587,1096.4126,284.7534,60.0897,23.3184
TCGA.33.AASI.01,Primary Tumor,3706.5833,1534.9366,487.1038,308.0475,106.0202,1049.0108,428.7927,415.2457,2778.9067,12.369,612.561,385.7957,1372.9613,899.9935,890.5695,509.4859,1398.2884,295.6785,1.178,137.2372
TCGA.33.AASJ.01,Primary Tumor,15848.1752,1537.2263,430.1703,349.8783,70.073,807.2993,442.3358,467.6399,6832.1168,8.2725,643.309,287.1046,1930.4136,924.5742,978.1022,739.1727,1593.674,784.9148,2.4331,25.7908
TCGA.33.AASL.01,Primary Tumor,18712.9357,1242.4477,282.5716,848.3346,159.2564,1232.5329,351.3555,375.5229,3416.8861,19.2099,628.9698,208.2107,1971.1851,1262.897,696.5143,1661.3478,2763.749,250.9682,1.859,38.4198
TCGA.34.2596.01,Primary Tumor,23266.7211,830.2024,310.01,720.9366,360.8313,744.5322,579.7259,474.0902,6103.2762,42.4721,612.3968,361.5573,746.7102,1542.4267,1069.7885,418.5498,1329.3402,227.9699,68.9718,97.6495
TCGA.34.2600.01,Primary Tumor,47157.3355,438.0875,187.168,372.2926,936.2485,402.5337,134.4503,271.3527,6077.2374,24.5198,928.0752,214.5484,3738.0466,722.1087,637.924,785.0429,691.4589,686.9636,38.823,164.2828
TCGA.34.2608.01,Primary Tumor,11520.2879,356.2753,71.6149,96.8061,850.3824,142.87,88.8889,116.9591,4450.2024,114.7998,315.9694,153.6662,2699.7751,335.4026,374.9888,251.552,509.9415,108.3221,153.6662,165.1822
TCGA.34.5231.01,Primary Tumor,16331.1841,1982.0428,519.1925,372.1603,134.0163,1176.981,942.9346,1389.3341,1945.8873,44.8328,1251.2202,567.3998,49.1714,1729.1955,1854.0524,72.0699,2044.2302,444.7123,4.0976,25.5499
TCGA.34.5232.01,Primary Tumor,15685.3283,472.5444,149.6526,452.7534,437.3001,476.0688,231.5278,308.7941,5231.0635,14.911,624.3659,261.0787,1914.3063,681.0278,919.8755,266.2298,1608.4944,441.0956,14.911,121.7283
TCGA.34.5234.01,Primary Tumor,7045.3988,320.6544,157.4642,38.8548,590.184,222.4949,46.2168,80.5726,3961.5542,87.5256,717.3824,150.5112,5024.9489,226.1759,410.6339,13.9059,1048.6708,69.9387,847.4438,766.8712
TCGA.34.5236.01,Primary Tumor,42037.0801,879.9602,375.2283,303.5032,15.9389,329.8467,524.6555,493.2204,2993.6355,47.1526,459.3503,390.7244,1302.1197,859.5938,737.8383,467.7625,1460.1804,242.6255,480.6021,48.4808
TCGA.34.5239.01,Primary Tumor,5176.2351,1489.725,183.4776,358.0051,65.7128,556.321,686.0979,480.4805,2935.406,48.2836,819.1721,240.2402,758.641,766.649,658.7764,110.4634,1052.8175,232.9388,19.3134,51.3455
TCGA.34.5240.01,Primary Tumor,20134.0356,719.9419,272.4301,323.2837,8.3545,376.68,235.7428,145.296,2563.3854,6.5383,670.9045,228.478,4005.0854,840.9008,732.292,6.5383,1401.3803,416.6364,34.5078,45.7683
TCGA.34.5241.01,Primary Tumor,35068.9583,810.3123,155.1038,381.4714,582.6871,166.4221,108.5726,305.5963,6060.3647,12.576,518.1304,412.4921,4230.1404,502.62,845.1058,168.0989,1280.2348,355.9002,250.6812,193.6701
TCGA.34.5927.01,Primary Tumor,35923.4317,1706.6392,171.564,801.6322,48.8235,442.1387,708.6221,483.8705,2865.0372,18.0019,604.9745,372.8585,440.5022,1217.0408,741.3529,1918.2984,1155.6705,645.6153,28.0939,23.7298
TCGA.34.5928.01,Primary Tumor,35254.4615,452.0212,203.8885,169.4509,28.964,303.324,278.6932,385.8829,1966.8168,13.9119,456.1263,199.3272,723.1883,585.2101,435.1445,454.0738,979.5313,219.3968,80.2782,33.0692
TCGA.34.5929.01,Primary Tumor,13134.1841,1457.3363,211.4873,337.6975,289.1397,496.8146,378.0286,399.2977,2707.1984,17.2561,686.8322,254.6275,552.5959,1084.7254,806.6215,583.8977,889.4908,340.908,16.2528,38.5252
TCGA.34.7107.11,Solid Tissue Normal,1141.0315,101.78,12.7796,16.4309,7400.7303,30.5796,24.6463,22.3642,268.827,1127.7955,51.1182,23.277,18.2565,91.7389,107.7134,9.5847,130.9904,21.4514,1502.5103,2087.6312
TCGA.34.7107.01,Primary Tumor,13509.3813,1427.0006,242.6041,661.4888,41.1903,829.3917,701.2828,630.4215,4369.3167,13.2647,771.097,578.0609,306.484,1328.2136,2368.444,537.5687,1542.1939,501.2654,13.2647,78.5409
TCGA.34.8454.11,Solid Tissue Normal,460.6208,57.4559,5.3561,9.7383,37125.7456,14.1205,16.0682,5.3561,8.7645,452.3433,22.3981,9.7383,4.3822,43.3354,56.482,11.6859,85.21,15.0943,1174.9239,6298.2349
TCGA.34.8454.01,Primary Tumor,15288.1916,1319.5706,300.578,312.1387,151.1148,654.005,368.2907,360.4459,2084.2279,21.057,778.6953,468.2081,512.3865,893.0636,1149.8761,22.2956,2106.5235,496.2841,34.6821,154.4178
TCGA.34.8455.01,Primary Tumor,40835.0911,1056.5676,270.3739,376.3183,220.9971,503.3557,448.7057,209.0125,9135.187,9.5877,424.257,335.5705,3105.9444,722.9147,1180.7287,61.3615,839.4056,446.3087,57.5264,240.652
TCGA.34.8456.01,Primary Tumor,11168.9448,1140.5139,175.5057,247.6763,103.8819,496.9929,183.7069,210.4975,4148.7151,8.7479,561.509,225.2597,449.4259,363.0399,695.462,971.0224,669.2182,220.339,22.9634,137.2335
TCGA.34.A5IX.01,Primary Tumor,10418.9189,1111.4865,418.9189,307.4324,100.2252,488.7387,576.5766,335.0225,5133.4459,0.5631,429.0541,719.5946,2668.3559,1396.3964,2140.7658,808.5586,2277.5901,349.6622,68.1306,45.045
TCGA.37.3783.01,Primary Tumor,15525.4237,1082.1777,1061.1197,299.9486,38.0072,1100.6677,348.228,639.4453,11978.4284,10.7858,1208.5259,436.5691,4878.2743,864.9204,1235.7473,14.8947,5247.0467,303.5439,334.3606,204.4171
TCGA.37.3789.01,Primary Tumor,30874.3009,1402.0214,379.5506,242.9595,59.268,753.6061,269.6497,318.3201,8947.8952,7.0651,586.0073,629.9676,4295.5549,790.8939,1151.6044,61.623,2235.6982,379.9431,97.3408,32.5778
TCGA.37.3792.01,Primary Tumor,5860.8129,1131.9018,385.3528,235.046,50.2301,1016.1043,462.4233,444.7853,554.4479,2.3006,477.7607,622.6994,3032.2086,1285.6595,1205.5215,31.0583,3834.3558,319.7853,228.1442,95.8589
TCGA.37.4129.01,Primary Tumor,1267.1701,31.2837,5.3937,5.3937,147.7886,12.2258,7.5512,4.315,3.5958,24.4516,47.4649,14.0237,1.4383,51.0608,48.5437,428.9824,276.8788,3.9554,1.4383,349.155
TCGA.37.4130.01,Primary Tumor,9414.1601,525.0656,444.8558,204.8434,143.7606,1393.7992,157.3346,170.9085,16.659,7.404,1900.3548,259.1393,10.489,419.5588,892.7965,219.6514,3787.1356,328.2431,9.872,141.2926
TCGA.37.4132.01,Primary Tumor,9193.9367,1255.9073,403.0317,142.6661,847.5256,641.9973,200.6242,264.3781,259.0281,18.7249,1584.4851,360.6777,1.3375,506.9104,1258.5823,400.3567,1877.3963,259.0281,75.3455,237.6282
TCGA.37.4133.01,Primary Tumor,7562.0693,629.5527,644.4274,233.6213,345.6196,560.4287,145.2477,511.4295,3469.7583,5.6874,893.361,238.4338,5783.6596,430.9308,817.6747,227.9339,1864.1584,123.8106,17.4997,139.1228
TCGA.37.4135.01,Primary Tumor,10255.6194,585.4679,315.2117,170.9357,256.1422,1227.9143,240.9827,728.1756,117.6163,14.114,1234.7099,288.552,58.024,622.0596,1570.3084,845.7919,6132.253,383.1678,126.5029,297.9613
TCGA.37.4141.01,Primary Tumor,4784.2219,1612.4903,599.7344,146.0935,288.091,338.6093,251.9089,498.6978,17.4083,3.7547,1473.9063,408.584,8.1922,661.517,1487.2185,473.78,1725.8152,448.8621,23.2111,105.1327
TCGA.37.5819.01,Primary Tumor,2238.9414,1451.7958,333.8374,234.4045,17.3913,1778.828,237.4291,449.9055,681.6635,5.293,1181.0964,247.6371,2.2684,807.9395,2080.9074,7.9395,3795.0851,288.0907,9.4518,196.9754
TCGA.37.A5EL.01,Primary Tumor,8188.3961,965.6552,400.8003,724.5749,45.015,961.9873,345.7819,221.7406,1292.7643,5.6686,771.2571,206.4021,1515.8386,922.6409,1172.0574,1528.1761,987.3291,289.0964,3.3344,7.0023
TCGA.37.A5EM.01,Primary Tumor,16715.7698,1332.0882,408.5444,715.3029,46.6908,871.2501,993.1131,340.3759,8583.6349,35.0181,525.2714,666.7445,1527.7227,1197.1519,963.231,519.6685,2614.6843,727.9094,200.7704,93.3816
TCGA.37.A5EN.01,Primary Tumor,5022.1429,941.4286,460.7143,538.5714,58.5714,1077.8571,274.2857,516.4286,4763.5714,12.1429,667.1429,158.5714,600.7143,1127.1429,1030.7143,903.5714,1311.4286,369.2857,0.7143,37.8571
TCGA.39.5011.01,Primary Tumor,7726.9678,994.6092,221.1511,76.5084,181.5647,344.8588,144.2621,144.2621,669.9243,5.3289,431.6444,256.5506,49.8637,467.0438,905.1591,14.8449,3314.6027,165.1972,15.6062,102.0112
TCGA.39.5016.01,Primary Tumor,8845.7143,599.6429,408.9286,300.7143,84.2857,467.8571,363.5714,663.2143,5097.5,6.0714,451.7857,446.4286,586.0714,517.1429,1066.7857,422.5,1470.3571,244.6429,8.5714,71.0714
TCGA.39.5019.01,Primary Tumor,26836.3455,982.1762,286.4265,237.0684,133.8651,650.1309,278.6987,482.8618,4378.4121,29.1661,732.8929,232.332,2990.4026,839.5862,1145.2075,448.2114,1540.8201,324.5669,47.6131,118.9081
TCGA.39.5021.01,Primary Tumor,7106.515,860.9886,351.9407,328.6847,104.9104,637.731,493.5439,584.5007,9155.6265,30.4912,1643.9404,325.0671,609.8238,788.6366,1001.5582,553.4927,1757.6364,327.6511,21.7056,71.3184
TCGA.39.5022.01,Primary Tumor,11249.7308,515.6844,190.0797,214.1985,81.5448,290.8621,282.8225,410.0208,2217.2134,16.6535,503.0508,178.8816,332.783,561.9123,788.7445,229.9907,891.824,250.3769,22.109,163.6638
TCGA.39.5024.01,Primary Tumor,22887.9904,1010.8144,377.8107,271.4092,591.4673,528.8781,416.7867,373.5433,8369.8733,46.6573,472.5479,295.5914,2359.3256,1052.3508,1365.2965,268.5643,994.5981,332.5759,3.1295,119.7728
TCGA.39.5027.01,Primary Tumor,13003.8899,1098.444,506.2837,472.7708,472.1724,1048.474,419.2101,398.863,2718.4321,4.7876,747.7558,267.5045,670.2573,1190.9037,1190.3052,483.2436,1364.7516,338.7193,1.7953,40.395
TCGA.39.5028.01,Primary Tumor,23416.1802,352.794,245.2043,71.3094,53.3778,133.4445,99.6664,104.2535,19731.4429,23.7698,397.4145,151.3761,2747.7064,280.6505,389.0742,295.246,1041.7014,147.623,44.6205,70.8924
TCGA.39.5029.01,Primary Tumor,67074.9781,944.8604,199.5527,197.2187,759.3115,206.5545,110.4736,477.2926,9837.596,54.8478,598.269,433.7256,1755.9078,415.054,1400.3695,277.74,1286.006,294.0776,79.7433,91.024
TCGA.39.5030.01,Primary Tumor,12283.8192,1029.1532,171.5255,274.5642,270.8623,320.2221,256.6713,356.625,1803.486,27.7649,481.8757,262.2243,542.9585,489.2797,900.8175,819.3737,902.0515,354.157,26.5309,115.9957
TCGA.39.5031.01,Primary Tumor,29136.591,1130.05,293.5745,138.1301,411.6968,452.097,203.5398,283.5706,7152.7511,76.5679,532.1277,222.3932,602.1547,529.0496,983.4552,634.8596,1509.0419,235.4752,90.8042,121.97
TCGA.39.5034.01,Primary Tumor,2682.2542,1402.8777,117.506,187.6499,7.7938,446.6427,350.7194,248.2014,2035.9712,11.3909,243.4053,455.036,4.7962,685.8513,1182.2542,209.8321,2061.1511,223.6211,4.7962,62.9496
TCGA.39.5035.01,Primary Tumor,16293.188,652.3161,171.6621,176.0218,215.2589,547.6839,252.861,252.3161,2863.7602,27.7929,226.703,221.7984,5233.2425,754.2234,1192.3706,409.2643,2031.0627,440.8719,8.7193,133.515
TCGA.39.5036.01,Primary Tumor,50539.3197,1233.2594,418.1347,188.187,567.7328,1170.8828,192.416,302.8965,6525.2268,14.2726,724.2029,504.8276,1282.4206,813.0103,1479.5941,549.2313,1832.1805,374.7882,13.744,61.3194
TCGA.39.5037.01,Primary Tumor,16670.8385,1365.4568,604.0884,215.2691,168.544,1577.3884,428.8694,568.6275,5758.4481,6.2578,1852.7326,349.6037,2319.1489,1459.7413,1193.9925,589.0697,2706.2995,410.096,10.4297,29.2032
TCGA.39.5039.01,Primary Tumor,18954.3624,440.9396,149.6644,69.1275,705.3691,257.047,90.604,172.4832,11026.8456,32.8859,337.5839,291.9463,1455.7047,373.1544,879.1946,140.2685,790.604,157.7181,96.6443,231.5436
TCGA.39.5040.11,Solid Tissue Normal,211.6505,36.1165,6.2136,3.8835,50494.3689,11.6505,3.4951,5.8252,0.7767,2386.4078,34.9515,7.3786,3.8835,37.2816,27.1845,4.2718,115.7282,5.4369,6872.233,8671.068
TCGA.39.5040.01,Primary Tumor,21206.7039,1054.0037,646.1825,1002.4829,378.9572,671.3222,524.8293,471.7567,1.8622,9.311,637.8026,414.6493,247.6723,1022.9671,720.6704,2818.7461,2054.3141,555.5556,17.0701,154.252
TCGA.43.2576.01,Primary Tumor,8287.9819,542.517,268.1406,89.0023,88.4354,445.0113,74.8299,189.3424,154.195,2.8345,333.3333,86.1678,521.542,582.1995,705.2154,404.7619,616.2132,248.8662,60.0907,153.6281
TCGA.43.2578.01,Primary Tumor,21024.9811,2408.4027,310.7494,476.5329,1124.9054,1191.5216,347.0855,410.6737,255.8668,31.4156,1291.8244,280.8478,49.9621,716.8812,2333.4595,556.0182,1957.9864,575.3217,87.8123,96.5178
TCGA.43.2581.01,Primary Tumor,1355.2916,472.6422,165.9467,138.9489,34.9172,213.8229,427.2858,257.7394,3.9597,1.7999,335.4932,314.2549,10.7991,415.0468,1165.2268,124.1901,1069.4744,144.3485,51.8359,105.8315
TCGA.43.3394.11,Solid Tissue Normal,766.7599,46.5042,5.1139,14.8622,41394.8062,13.5837,15.022,14.0631,108.5098,1371.3144,36.1167,17.5789,23.6516,60.8869,50.4994,10.5473,85.018,12.1454,2446.3444,3335.1978
TCGA.43.3394.01,Primary Tumor,18918.5369,1078.407,348.7728,814.8219,148.6009,619.2341,154.713,284.2135,5961.6083,10.3142,727.3422,301.7859,2064.3683,958.0747,673.4791,665.839,1586.8589,362.5251,59.9752,105.4341
TCGA.43.3920.01,Primary Tumor,39477.0883,489.5441,420.0663,230.8308,71.7632,579.1338,166.8381,240.4297,4820.0206,9.1418,2433.0934,281.1107,1933.9504,701.6341,597.8745,487.2586,2624.1572,292.0809,91.4181,70.392
TCGA.43.5668.01,Primary Tumor,5669.6776,986.8794,143.4694,155.8647,539.3288,279.0268,139.7771,121.8435,3.4285,17.6699,635.3267,347.333,141.0958,623.1951,887.453,17.1425,742.1375,202.0175,3.6922,62.5041
TCGA.43.5670.11,Solid Tissue Normal,827.5229,47.4006,7.0336,39.4495,28323.5474,12.844,10.0917,7.0336,159.633,1094.8012,30.581,10.7034,40.6728,57.7982,44.3425,3.6697,98.7768,10.0917,1895.7187,2072.7829
TCGA.43.5670.01,Primary Tumor,11108.9996,1677.3037,472.5708,345.285,110.4338,1096.8089,570.4554,211.5454,5730.0108,11.8322,539.2614,659.0176,3866.6189,1120.1147,1096.0918,640.7314,2410.9,409.1072,21.1545,9.6809
TCGA.43.6143.11,Solid Tissue Normal,367.819,76.7271,8.7496,11.1052,14163.5566,13.4609,7.4035,16.8261,8.4131,1356.522,33.9888,13.1244,11.1052,43.4114,77.7367,8.7496,97.5915,13.4609,3759.9653,1931.9754
TCGA.43.6143.01,Primary Tumor,12147.0948,1721.5865,529.2745,520.6088,52.6608,653.9273,645.0394,586.3793,2938.7846,5.7771,1019.6645,572.603,961.8931,1361.4043,2310.41,435.7294,1500.9443,896.567,26.8859,74.6584
TCGA.43.6647.11,Solid Tissue Normal,301.3381,38.8587,2.9327,3.6659,54090.7924,6.1099,5.6211,7.3318,1.9552,2169.9762,17.1076,8.7982,1.7108,32.26,31.0381,4.1547,65.0089,4.6435,3937.9239,3694.0185
TCGA.43.6647.01,Primary Tumor,40163.25,680.3332,130.6749,116.0723,44.1823,219.414,188.711,214.5465,3302.4431,17.2236,110.4559,256.1078,208.9301,942.8063,927.8293,724.5156,707.6664,177.8527,47.1778,42.6846
TCGA.43.6770.01,Primary Tumor,77640.1066,1202.4703,270.7677,331.0729,81.1334,819.5689,492.1288,575.1998,4679.8256,20.5861,521.676,596.9969,780.8186,597.239,1755.3887,1585.8561,1232.0174,623.1533,90.3366,162.7513
